Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.845818833,0.145528573,0.202330399,-0.154250718,0.293103122
0.855774833,0.130246345,0.160587638,-0.122497414,0.240329183
0.865730833,0.105969108,0.12100842,-0.078664346,0.179054653
0.875687833,0.078354078,0.079047047,-0.028417468,0.114871013
0.885643833,0.046446279,0.072819908,0.012114261,0.087216691
0.895599833,-0.025387295,0.026900262,0.142018928,0.146756651
0.905555833,-0.082416212,-0.040946443,0.290147027,0.304391755
0.915511833,-0.11502745,-0.08389278,0.250205281,0.287874965
0.925467833,-0.142965885,-0.151854895,0.237330297,0.315950666
0.935424833,-0.156271041,-0.189799012,0.245468452,0.347417708
0.945380833,-0.180906018,-0.163772909,0.203816396,0.317946028
0.955336833,-0.169679876,-0.141924349,0.194847352,0.294786824
0.965292833,-0.154692037,-0.118322356,0.179313054,0.264731897
0.975248833,-0.158019285,-0.084066589,0.121590511,0.216382851
0.985204833,-0.119118089,-0.017140674,0.064159158,0.136379322
0.995160833,-0.081872677,0.026686034,-0.010697481,0.086773935
1.005117833,-0.057506489,0.051385185,-0.035929971,0.085078765
1.015073833,-0.055054203,0.054966166,-0.071507354,0.105667149
1.025029833,-0.037244735,0.061128766,-0.05275358,0.088920394
1.034985833,-0.03169518,0.100394719,-0.02911621,0.109231121
1.044941833,-0.01637933,0.152565258,0.013922805,0.154072337
1.054897833,0.014451631,0.205041899,0.020376962,0.206558105
1.064854833,0.030854003,0.221003775,-0.000678862,0.223148154
1.074810833,0.051587426,0.220450994,0.009308183,0.226597761
1.084766833,0.050559777,0.200559497,0.070498125,0.218518623
1.094722833,0.045803396,0.204401264,0.135724985,0.249597875
1.104678833,0.041390576,0.169645706,0.144775305,0.226831952
1.114634833,0.003086361,0.120862021,0.092089553,0.151979076
1.124590833,0.01101652,0.097239416,0.07406785,0.122731064
1.134547833,0.026952631,0.104123416,0.055585971,0.121069939
1.144503833,0.009319,0.108105296,0.077506598,0.133344934
1.154459833,0.020990993,0.035769318,0.136706733,0.14285936
1.164415833,-0.022388623,-0.017315433,0.164833594,0.167245892
1.174371833,-0.040569974,-0.050081621,0.148907533,0.16225765
1.184327833,-0.038128707,-0.058390442,0.107177709,0.127868304
1.194284833,-0.021447368,-0.132977744,0.031696587,0.138375372
1.204240833,-0.036594013,-0.145760342,-0.056021004,0.160385635
1.214196833,-0.025248442,-0.094237309,-0.058560449,0.113786996
1.224152833,-0.009479451,-0.003708816,-0.013725169,0.017087878
1.234108833,-0.008715001,0.044801366,0.021007876,0.050243851
1.244064833,0.021211085,0.057499984,0.05901127,0.085079306
1.254020833,0.024688662,0.049261915,0.072174522,0.090804338
1.263977833,0.040790743,0.111963728,0.1097154,0.161979104
1.273933833,0.041311858,0.028774879,0.067628896,0.084310918
1.283889833,0.015358918,-0.003242647,-0.018802307,0.024493629
1.293845833,0.072727906,0.056415545,-0.040301349,0.100480151
1.303801833,0.065625421,-7.616E-05,-0.051173662,0.083219261
1.313757833,0.033168623,0.017781456,-0.036874296,0.052688248
1.323714833,0.034166944,0.028173566,0.102940232,0.112061685
1.333670833,0.02253802,0.032164802,0.16470437,0.169322374
1.343626833,0.05822798,0.032094782,0.118054699,0.135489796
1.353582833,0.0793543,0.014223864,0.034604992,0.087732141
1.363538833,0.091328063,0.012041975,-0.001467651,0.092130225
1.373494833,0.116659133,0.050323184,0.006392761,0.12721102
1.383450833,0.134224699,0.076687914,0.020452391,0.155934622
1.393407833,0.155639962,0.087056416,0.058644065,0.187727845
1.403363833,0.178024949,0.089500479,0.086272743,0.217131768
1.413319833,0.138206288,0.049309789,0.119283199,0.189105565
1.423275833,0.107355391,0.058964711,0.137124808,0.183861987
1.433231833,0.129288187,0.074613395,0.150091009,0.211683502
1.443187833,0.170312508,0.053909647,0.066415014,0.190587394
1.453144833,0.191769798,0.022820586,-0.00841005,0.193305881
1.463100833,0.218994818,-0.030137207,-0.059844498,0.229016037
1.473056833,0.247547155,-0.054812092,-0.103151901,0.273722988
1.483012833,0.246950685,-0.062302083,-0.125627428,0.283986691
1.492968833,0.246545363,-0.025257267,-0.173586291,0.302580148
1.502924833,0.253531159,0.035879977,-0.183126023,0.314802417
1.512881833,0.25959273,0.080194709,-0.082887205,0.284059617
1.522837833,0.246868129,0.137486678,-0.038454798,0.28517579
1.532793833,0.246376013,0.154843041,-0.049932883,0.295247015
1.542749833,0.266335959,0.115405472,-0.06092214,0.296588558
1.552705833,0.286710837,0.110527579,-0.137666261,0.33670677
1.562661833,0.327343833,0.154662874,-0.166674882,0.398566313
1.572617833,0.367037145,0.126476883,-0.09683223,0.40011142
1.582574833,0.33117577,0.015975909,-0.057490409,0.336508198
1.592530833,0.354988336,0.064508895,-0.048350042,0.364027256
1.602486833,0.38898741,0.147470945,-0.085635982,0.424726272
1.612442833,0.439347066,0.160852517,-0.127878022,0.485028005
1.622398833,0.46025554,0.177355479,-0.14316966,0.513602648
1.632354833,0.508930175,0.194167905,-0.087806468,0.551743667
1.642311833,0.549706976,0.21665425,-0.051994611,0.593144387
1.652267833,0.566334374,0.299141945,-0.097079567,0.6478001
1.662223833,0.570616108,0.309028344,-0.01696862,0.649144971
1.672179833,0.614637017,0.318809201,0.003167437,0.692407396
1.682135833,0.603151587,0.360327209,-0.038041985,0.703615468
1.692091833,0.644159097,0.312133581,0.010533174,0.715876569
1.702048833,0.682645617,0.248601975,0.012447553,0.726610571
1.712004833,0.708674059,0.184247081,-0.009556105,0.73229586
1.721960833,0.79317071,0.200695883,-0.026726453,0.818604249
1.731916833,0.902974477,0.265054651,-0.089291661,0.945298828
1.741872833,0.941915544,0.259881181,-0.106685958,0.982916585
1.751828833,1.004424326,0.273059635,-0.105073296,1.046169293
1.761784833,1.007945592,0.347373142,-0.101604728,1.070955619
1.771738833,0.935972946,0.327948618,0.079845484,0.99497284
1.781694833,0.90821519,0.234735522,0.238197439,0.967829332
1.791650833,0.848000124,0.232774512,0.238208549,0.911060644
1.801606833,0.912924318,0.270677991,0.192489755,0.971467802
1.811562833,1.014456394,0.328363697,0.086059905,1.069743334
1.821518833,1.06772197,0.435067855,-0.064519347,1.154762742
1.831475833,1.1627287,0.351268776,-0.147497769,1.223553584
1.841431833,1.13962869,0.302803617,-0.227249113,1.200868744
1.851387833,1.09234211,0.257679046,-0.151362194,1.132484124
1.861343833,1.057257282,0.235866447,-0.030033054,1.08366412
1.871299833,1.0558549,0.157099409,0.019718565,1.067660347
1.881255833,1.083361153,0.004457332,0.054000206,1.084715298
1.891211833,1.098278935,-0.072854334,0.017817636,1.100836882
1.901168833,1.052294457,-0.094873998,0.041577796,1.057380449
1.911124833,0.985966567,-0.134924428,-0.04980249,0.996401003
1.921080833,0.934531899,-0.096751612,-0.174787894,0.955647191
1.931036833,0.993046594,-0.01787333,-0.24317342,1.022543059
1.940992833,0.98925716,-0.115042872,-0.300137579,1.040166889
